,index,CUBE NAME,Cube Type,cardID,addedTmsp,added_to_cube_on,details_released_at,details_name,details_full_name,details_artist,details_rarity,details_color_identity,details_colors,details_set,details_cmc,details_parsed_cost,details_type,details_elo,details_popularity,details_cubeCount,details_loyalty,details_power,details_toughness,is_creature,is_land,is_pwer,days_until_added_to_cube
0,0,Salt and Pauper cube,Cali Cube Champ,2ba18114-af6c-48cd-82c9-eb6541d566bf,1632349553363,2021-09-22 22:25:53.363000+00:00,2019-07-12,Ancestral Blade,Ancestral Blade [m20-3],Scott Murphy,uncommon,['W'],['W'],m20,2,"['w', '1']",Artifact — Equipment,1247.000000000393,6.804200942186622,9446,,,,False,False,False,803
1,1,Salt and Pauper cube,Cali Cube Champ,0556f0d9-50d2-4c67-8522-de366d96500a,1632349553363,2021-09-22 22:25:53.363000+00:00,2021-07-23,Minimus Containment,Minimus Containment [afr-24],Steve Prescott,common,['W'],['W'],afr,3,"['w', '2']",Enchantment — Aura,1217.7000000001651,1.631538760750868,2265,,,,False,False,False,61
2,2,Salt and Pauper cube,Cali Cube Champ,bd6ccd0b-5279-431f-b65a-7fdbdffd1a90,1632349553363,2021-09-22 22:25:53.363000+00:00,2019-10-04,Ardenvale Tactician,Ardenvale Tactician [eld-273],Aaron Miller,common,['W'],['W'],eld,3,"['w', '1', 'split', 'w', 'w', '1']",Creature — Human Knight,1196.6000000001081,4.83482921066659,6712,,2,3,True,False,False,719
3,3,Salt and Pauper cube,Cali Cube Champ,b6173466-30db-4b95-a556-dd69e03b731e,1632349553363,2021-09-22 22:25:53.363000+00:00,2014-09-26,Feat of Resistance,Feat of Resistance [ktk-10],David Gaillet,common,['W'],['W'],ktk,2,"['w', '1']",Instant,1127.8000000001823,3.1384610951838994,4357,,,,False,False,False,2553
4,4,Salt and Pauper cube,Cali Cube Champ,c0f5cb3f-c27d-4b35-930f-00d806393796,1632349553363,2021-09-22 22:25:53.363000+00:00,2012-07-13,Attended Knight,Attended Knight [m13-5],Seb McKinnon,common,['W'],['W'],m13,3,"['w', '2']",Creature — Human Knight,1260.8000000001516,3.3984988402748764,4718,,2,2,True,False,False,3358
5,5,Salt and Pauper cube,Cali Cube Champ,c3c38264-0d79-47d4-bca2-a20a991bbac9,1632349553363,2021-09-22 22:25:53.363000+00:00,2002-05-27,Battle Screech,Battle Screech [jud-3],Randy Gallegos,uncommon,['W'],['W'],jud,4,"['w', 'w', '2']",Sorcery,1352.8000000006828,8.18578652413813,11364,,,,False,False,False,7058
6,6,Salt and Pauper cube,Cali Cube Champ,b9ef727b-3e67-46d2-80f9-b1d483977b05,1632349553363,2021-09-22 22:25:53.363000+00:00,2015-07-17,Topan Freeblade,Topan Freeblade [ori-36],Johannes Voss,common,['W'],['W'],ori,2,"['w', '1']",Creature — Human Soldier,1234.6000000001586,1.9564058605736678,2716,,2,2,True,False,False,2259
7,7,Salt and Pauper cube,Cali Cube Champ,f0067567-3434-4c12-9d4d-04ffc98d012c,1632349553363,2021-09-22 22:25:53.363000+00:00,2016-07-22,Borrowed Grace,Borrowed Grace [emn-14],Volkan Baǵa,common,['W'],['W'],emn,3,"['w', '2']",Instant,1147.8999999999544,1.517727226888335,2107,,,,False,False,False,1888
8,8,Salt and Pauper cube,Cali Cube Champ,074d526a-1eef-4045-bd38-f6d68c4bc4b9,1632349553363,2021-09-22 22:25:53.363000+00:00,2021-02-05,Bound in Gold,Bound in Gold [khm-5],Victor Adame Minguez,common,['W'],['W'],khm,3,"['w', '2']",Enchantment — Aura,1262.600000000079,1.1827755607739183,1642,,,,False,False,False,229
9,9,Salt and Pauper cube,Cali Cube Champ,9955a344-dcd8-404d-9757-f62ed158ba22,1632349553363,2021-09-22 22:25:53.363000+00:00,2021-06-18,Unbounded Potential,Unbounded Potential [mh2-36],Iain McCaig,common,['W'],['W'],mh2,2,"['w', '1']",Instant,1204.7999999998708,1.6466656101882933,2286,,,,False,False,False,96
10,10,Salt and Pauper cube,Cali Cube Champ,3f669ac4-98ed-4e23-91a9-281f8277ab04,1632349553363,2021-09-22 22:25:53.363000+00:00,2021-04-23,Combat Professor,Combat Professor [stx-11],Andrey Kuzinskiy,common,['W'],['W'],stx,4,"['w', '3']",Creature — Bird Cleric,1244.0000000001219,1.3189172057107459,1831,,2,3,True,False,False,152
